thermostat_id,equipment_type,zipcode,utc_offset,interval_data_filename
A842E3405E3C,3,98052,-8,thermo_a842e3-405e3c-uuSsYh.csv
B0A732C4935C,2,92240,-8,thermo_b0a732-c4935c-xu3OoQ.csv
80646FFD8148,2,95321,-8,thermo_80646f-fd8148-W104hm.csv
A0DD6C0095B4,2,98059,-8,thermo_a0dd6c-0095b4-RxmExU.csv
80646FFD789C,2,89107,-8,thermo_80646f-fd789c-Lf8N6W.csv
5443B2FB184C,3,92264,-8,thermo_5443b2-fb184c-TYMcVZ.csv
5443B2FB1878,3,92844,-8,thermo_5443b2-fb1878-dRrIXA.csv
B0A732C516D0,2,90027,-8,thermo_b0a732-c516d0-nqpNNH.csv
5443B2F9CBC0,1,98007,-8,thermo_5443b2-f9cbc0-cR9qeE.csv
30C922A3FC9C,3,93728,-8,thermo_30c922-a3fc9c-LVJGg7.csv
08D1F9849858,2,95135,-8,thermo_08d1f9-849858-2e2yK2.csv
80646FFD534C,2,98027,-8,thermo_80646f-fd534c-oZvn8X.csv
5443B2FAF7B4,3,90274,-8,thermo_5443b2-faf7b4-pIll7H.csv
80646FFD4F7C,2,95076,-8,thermo_80646f-fd4f7c-a2Nyj5.csv
30C922A3FF08,1,95621,-8,thermo_30c922-a3ff08-GMMtbU.csv
80646FFD5AC4,2,95122,-8,thermo_80646f-fd5ac4-LaUJSR.csv
5443B2FB2F34,2,60611,-8,thermo_5443b2-fb2f34-hotoDE.csv
80646FFD7268,2,92883,-8,thermo_80646f-fd7268-iicui8.csv
80646FFD4B80,2,98043,-8,thermo_80646f-fd4b80-1zEBwN.csv
24DCC39FBED8,3,98053,-8,thermo_24dcc3-9fbed8-nZEHek.csv
08D1F9808BB4,2,98119,-8,thermo_08d1f9-808bb4-F8XbsM.csv
A842E3B07C28,3,93022,-8,thermo_a842e3-b07c28-xx2GT8.csv
A842E3B07838,3,93312,-8,thermo_a842e3-b07838-0fQal0.csv
08D1F9838E7C,2,94089,-8,thermo_08d1f9-838e7c-eJ7FrR.csv
80646FFD5DEC,2,94303,-8,thermo_80646f-fd5dec-SLYIZh.csv
80646FFD6808,2,98274,-8,thermo_80646f-fd6808-8xBBfJ.csv
5443B2FA5940,1,97502,-8,thermo_5443b2-fa5940-LddSep.csv
08D1F983A530,2,98002,-8,thermo_08d1f9-83a530-f2vJes.csv
08D1F9836638,2,97132,-8,thermo_08d1f9-836638-pYehqJ.csv
5443B2FB2C5C,3,97027,-8,thermo_5443b2-fb2c5c-OnCegk.csv
A842E3B07924,3,92563,-8,thermo_a842e3-b07924-ZX2BPO.csv
5443B2FAFCBC,3,92394,-8,thermo_5443b2-fafcbc-0654yB.csv
80646FFD6468,2,95926,-8,thermo_80646f-fd6468-5uhQCX.csv
5443B2FB29BC,3,91911,-8,thermo_5443b2-fb29bc-nLln2E.csv
B0A732C52F44,4,92386,-8,thermo_b0a732-c52f44-nGosAM.csv
80646FFDE664,2,91744,-8,thermo_80646f-fde664-JU59jv.csv
30C922A3D4A8,3,94506,-8,thermo_30c922-a3d4a8-FunepW.csv
80646FFD5B24,2,98012,-8,thermo_80646f-fd5b24-WptyoU.csv
5443B2F9C5B8,2,92101,-8,thermo_5443b2-f9c5b8-ysLTOI.csv
80646FFD499C,2,98107,-8,thermo_80646f-fd499c-9eMhZU.csv
80646FFD4DD4,2,92701,-8,thermo_80646f-fd4dd4-O2xyPC.csv
5443B2F9C5FC,3,95367,-8,thermo_5443b2-f9c5fc-gwJW7o.csv
A0DD6C0098A0,2,97702,-8,thermo_a0dd6c-0098a0-SYFgpO.csv
08D1F981F0D4,2,98059,-8,thermo_08d1f9-81f0d4-lr4gfH.csv
80646FFD7CA0,2,98043,-8,thermo_80646f-fd7ca0-ihTv45.csv
08D1F98440BC,2,98112,-8,thermo_08d1f9-8440bc-w7KZh5.csv
80646FFD83DC,2,95966,-8,thermo_80646f-fd83dc-xSM3pw.csv
5443B2FB1708,3,93010,-8,thermo_5443b2-fb1708-y2ra9j.csv
80646FFD70A0,2,94303,-8,thermo_80646f-fd70a0-X1iHQv.csv
80646FFDF0C0,2,90280,-8,thermo_80646f-fdf0c0-ji5ejw.csv
80646FFDDF04,2,98288,-8,thermo_80646f-fddf04-xcgQJb.csv
80646FFD58D4,2,92021,-8,thermo_80646f-fd58d4-CvfIh7.csv
80646FFDF0FC,2,98103,-8,thermo_80646f-fdf0fc-FvPK4J.csv
08D1F983DD28,2,95321,-8,thermo_08d1f9-83dd28-TLezgb.csv
