date,heat_runtime,cool_runtime,auxiliary_heat_runtime_00,emergency_heat_runtime_00,cooling_setpoint_00,heating_setpoint_00,temp_in_00,auxiliary_heat_runtime_01,emergency_heat_runtime_01,cooling_setpoint_01,heating_setpoint_01,temp_in_01,auxiliary_heat_runtime_02,emergency_heat_runtime_02,cooling_setpoint_02,heating_setpoint_02,temp_in_02,auxiliary_heat_runtime_03,emergency_heat_runtime_03,cooling_setpoint_03,heating_setpoint_03,temp_in_03,auxiliary_heat_runtime_04,emergency_heat_runtime_04,cooling_setpoint_04,heating_setpoint_04,temp_in_04,auxiliary_heat_runtime_05,emergency_heat_runtime_05,cooling_setpoint_05,heating_setpoint_05,temp_in_05,auxiliary_heat_runtime_06,emergency_heat_runtime_06,cooling_setpoint_06,heating_setpoint_06,temp_in_06,auxiliary_heat_runtime_07,emergency_heat_runtime_07,cooling_setpoint_07,heating_setpoint_07,temp_in_07,auxiliary_heat_runtime_08,emergency_heat_runtime_08,cooling_setpoint_08,heating_setpoint_08,temp_in_08,auxiliary_heat_runtime_09,emergency_heat_runtime_09,cooling_setpoint_09,heating_setpoint_09,temp_in_09,auxiliary_heat_runtime_10,emergency_heat_runtime_10,cooling_setpoint_10,heating_setpoint_10,temp_in_10,auxiliary_heat_runtime_11,emergency_heat_runtime_11,cooling_setpoint_11,heating_setpoint_11,temp_in_11,auxiliary_heat_runtime_12,emergency_heat_runtime_12,cooling_setpoint_12,heating_setpoint_12,temp_in_12,auxiliary_heat_runtime_13,emergency_heat_runtime_13,cooling_setpoint_13,heating_setpoint_13,temp_in_13,auxiliary_heat_runtime_14,emergency_heat_runtime_14,cooling_setpoint_14,heating_setpoint_14,temp_in_14,auxiliary_heat_runtime_15,emergency_heat_runtime_15,cooling_setpoint_15,heating_setpoint_15,temp_in_15,auxiliary_heat_runtime_16,emergency_heat_runtime_16,cooling_setpoint_16,heating_setpoint_16,temp_in_16,auxiliary_heat_runtime_17,emergency_heat_runtime_17,cooling_setpoint_17,heating_setpoint_17,temp_in_17,auxiliary_heat_runtime_18,emergency_heat_runtime_18,cooling_setpoint_18,heating_setpoint_18,temp_in_18,auxiliary_heat_runtime_19,emergency_heat_runtime_19,cooling_setpoint_19,heating_setpoint_19,temp_in_19,auxiliary_heat_runtime_20,emergency_heat_runtime_20,cooling_setpoint_20,heating_setpoint_20,temp_in_20,auxiliary_heat_runtime_21,emergency_heat_runtime_21,cooling_setpoint_21,heating_setpoint_21,temp_in_21,auxiliary_heat_runtime_22,emergency_heat_runtime_22,cooling_setpoint_22,heating_setpoint_22,temp_in_22,auxiliary_heat_runtime_23,emergency_heat_runtime_23,cooling_setpoint_23,heating_setpoint_23,temp_in_23
2024-05-06,306.73,1138.3,0,0,75.0,75.0,70.0,0,0,75.0,75.0,70.0,0,0,75.0,75.0,70.0,0,0,71.67,71.67,64.6,0,0,74.0,74.0,69.0,0,0,74.0,74.0,69.0,0,0,74.0,74.0,68.2,0,0,74.0,74.0,68.0,0,0,74.0,74.0,67.22,0,0,62.0,62.0,66.73,0,0,62.0,62.0,67.0,0,0,68.67,68.67,67.55,0,0,63.0,63.0,68.0,0,0,63.0,63.0,68.0,0,0,63.0,63.0,69.3,0,0,68.33,68.33,69.5,0,0,71.0,71.0,60.27,0,0,68.33,68.33,70.13,0,0,68.33,68.33,69.36,0,0,68.0,68.0,69.57,0,0,68.6,68.6,69.44,0,0,68.0,68.0,69.67,0,0,69.83,69.83,69.41,0,0,76.0,76.0,69.56
2024-05-07,289.5,1145.68,0,0,76.0,76.0,70.0,0,0,76.0,76.0,70.8,0,0,76.0,76.0,71.0,0,0,71.5,71.5,60.93,0,0,68.0,68.0,70.33,0,0,75.0,75.0,70.0,0,0,75.0,75.0,70.0,0,0,75.0,75.0,70.0,0,0,75.0,75.0,69.55,0,0,75.0,75.0,69.0,0,0,75.0,75.0,68.44,0,0,75.0,75.0,56.18,0,0,75.0,75.0,69.0,0,0,75.0,75.0,69.0,0,0,75.0,75.0,69.71,0,0,75.0,75.0,71.33,0,0,76.0,76.0,71.0,0,0,76.0,76.0,71.0,0,0,72.5,72.5,71.23,0,0,72.5,72.5,71.09,0,0,76.0,76.0,71.0,0,0,70.33,70.33,71.36,0,0,76.0,76.0,71.0,0,0,76.0,76.0,71.0
2024-05-08,167.53,1274.17,0,0,76.0,76.0,71.0,0,0,76.0,76.0,71.0,0,0,76.0,76.0,71.0,0,0,71.5,71.5,59.46,0,0,75.0,75.0,70.0,0,0,67.33,67.33,69.6,0,0,73.0,73.0,68.0,0,0,73.0,73.0,68.0,0,0,73.0,73.0,67.53,0,0,73.0,73.0,67.0,0,0,73.0,73.0,66.4,0,0,62.0,62.0,57.21,0,0,62.0,62.0,67.45,0,0,62.0,62.0,69.09,0,0,67.25,67.25,69.47,0,0,69.75,69.75,69.33,0,0,68.0,68.0,69.5,0,0,68.6,68.6,69.6,0,0,68.33,68.33,69.31,0,0,68.33,68.33,69.64,0,0,68.33,68.33,69.5,0,0,68.0,68.0,69.57,0,0,69.75,69.75,69.36,0,0,68.33,68.33,69.5
2024-05-09,195.73,1245.9,0,0,68.33,68.33,69.38,0,0,70.5,70.5,69.27,0,0,70.5,70.5,69.3,0,0,68.33,68.33,58.93,0,0,69.5,69.5,68.27,0,0,73.0,73.0,68.0,0,0,73.0,73.0,68.0,0,0,73.0,73.0,68.0,0,0,73.0,73.0,68.0,0,0,73.0,73.0,67.22,0,0,73.0,73.0,67.0,0,0,68.0,68.0,58.0,0,0,62.0,62.0,67.6,0,0,62.0,62.0,68.8,0,0,62.0,62.0,69.2,0,0,67.2,67.2,69.62,0,0,69.75,69.75,69.47,0,0,69.33,69.33,69.5,0,0,68.6,68.6,69.57,0,0,70.5,70.5,69.46,0,0,68.0,68.0,69.62,0,0,69.75,69.75,69.17,0,0,70.5,70.5,69.08,0,0,70.5,70.5,69.25
2024-05-10,606.05,837.65,0,0,70.5,70.5,69.27,0,0,74.0,74.0,69.0,0,0,74.0,74.0,69.0,0,0,67.25,67.25,60.62,0,0,65.0,65.0,70.0,0,0,65.0,65.0,70.0,0,0,65.0,65.0,70.0,0,0,68.5,68.5,69.54,0,0,68.5,68.5,69.73,0,0,68.5,68.5,69.55,0,0,71.0,71.0,69.54,0,0,62.0,62.0,57.5,0,0,62.0,62.0,69.0,0,0,74.0,74.0,69.09,0,0,68.33,68.33,69.6,0,0,68.33,68.33,69.58,0,0,67.2,67.2,69.8,0,0,69.2,69.2,69.53,0,0,68.0,68.0,69.6,0,0,70.5,70.5,69.5,0,0,70.5,70.5,69.31,0,0,68.6,68.6,69.56,0,0,69.33,69.33,69.46,0,0,71.67,71.67,69.08
2024-05-11,612.88,822.63,0,0,70.5,70.5,69.09,0,0,70.5,70.5,69.27,0,0,74.0,74.0,69.0,0,0,65.0,65.0,60.6,0,0,65.0,65.0,70.0,0,0,65.0,65.0,70.0,0,0,65.0,65.0,70.0,0,0,68.5,68.5,69.7,0,0,68.5,68.5,69.91,0,0,68.5,68.5,69.58,0,0,69.67,69.67,69.82,0,0,62.0,62.0,60.38,0,0,62.0,62.0,69.0,0,0,75.0,75.0,69.8,0,0,75.0,75.0,70.0,0,0,75.0,75.0,70.0,0,0,69.0,69.0,70.58,0,0,72.67,72.67,70.25,0,0,70.33,70.33,70.46,0,0,72.67,72.67,70.25,0,0,69.33,69.33,70.47,0,0,69.0,69.0,70.62,0,0,72.67,72.67,70.08,0,0,71.5,71.5,70.25
2024-05-12,207.18,1224.53,0,0,71.5,71.5,70.25,0,0,71.5,71.5,70.38,0,0,71.5,71.5,70.3,0,0,77.0,77.0,57.45,0,0,77.0,77.0,71.0,0,0,77.0,77.0,71.0,0,0,77.0,77.0,71.0,0,0,77.0,77.0,70.36,0,0,77.0,77.0,70.0,0,0,65.0,65.0,69.7,0,0,65.0,65.0,70.0,0,0,63.0,63.0,59.23,0,0,63.0,63.0,70.11,0,0,75.0,75.0,70.2,0,0,75.0,75.0,70.0,0,0,68.0,68.0,70.09,0,0,69.33,69.33,70.57,0,0,69.6,69.6,70.73,0,0,66.5,66.5,70.64,0,0,70.2,70.2,70.57,0,0,69.6,69.6,70.87,0,0,68.2,68.2,70.71,0,0,69.0,69.0,70.77,0,0,69.33,69.33,70.62
2024-05-13,229.45,1214.7,0,0,68.25,68.25,70.76,0,0,70.75,70.75,70.46,0,0,71.5,71.5,70.33,0,0,77.0,77.0,58.75,0,0,77.0,77.0,71.0,0,0,77.0,77.0,71.0,0,0,77.0,77.0,71.0,0,0,77.0,77.0,70.22,0,0,77.0,77.0,70.0,0,0,65.0,65.0,69.7,0,0,65.0,65.0,70.0,0,0,63.0,63.0,59.23,0,0,63.0,63.0,70.0,0,0,68.0,68.0,70.09,0,0,69.33,69.33,70.56,0,0,69.6,69.6,70.71,0,0,69.0,69.0,70.8,0,0,69.33,69.33,70.6,0,0,69.6,69.6,70.73,0,0,69.33,69.33,70.62,0,0,69.0,69.0,70.46,0,0,69.33,69.33,70.53,0,0,70.2,70.2,70.53,0,0,68.0,68.0,70.3
2024-05-14,423.67,1018.43,0,0,75.0,75.0,70.08,0,0,71.5,71.5,70.09,0,0,75.0,75.0,70.0,0,0,77.0,77.0,58.33,0,0,77.0,77.0,70.0,0,0,77.0,77.0,70.0,0,0,65.0,65.0,69.75,0,0,65.0,65.0,70.0,0,0,65.0,65.0,70.0,0,0,68.5,68.5,69.62,0,0,72.0,72.0,69.92,0,0,63.0,63.0,60.38,0,0,63.0,63.0,69.0,0,0,63.0,63.0,70.42,0,0,72.67,72.67,70.25,0,0,67.8,67.8,70.36,0,0,68.33,68.33,69.77,0,0,66.4,66.4,69.6,0,0,66.0,66.0,68.29,0,0,66.33,66.33,67.8,0,0,65.25,65.25,67.81,0,0,67.2,67.2,67.71,0,0,65.25,65.25,67.79,0,0,67.2,67.2,67.57
2024-05-15,479.92,965.57,0,0,67.0,67.0,67.5,0,0,63.5,63.5,67.5,0,0,66.0,66.0,67.57,0,0,61.5,61.5,59.87,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,69.0,0,0,59.0,59.0,69.0,0,0,67.5,67.5,68.73,0,0,67.0,67.0,58.73,0,0,63.5,63.5,67.42,0,0,72.0,72.0,67.17,0,0,66.0,66.0,67.8,0,0,67.0,67.0,67.77,0,0,66.0,66.0,67.57,0,0,66.33,66.33,67.73,0,0,65.25,65.25,67.83,0,0,67.75,67.75,67.53,0,0,66.0,66.0,67.71,0,0,66.6,66.6,67.6,0,0,66.0,66.0,67.67,0,0,65.25,65.25,67.6
