thermostat_id,equipment_type,zipcode,utc_offset,interval_data_filename
E86BEADC98BC,3,83623,-7,thermo_e86bea-dc98bc-LEvpSm.csv
A842E3B0745C,1,87124,-7,thermo_a842e3-b0745c-AqfKb6.csv
A842E3B075CC,4,83716,-7,thermo_a842e3-b075cc-9rRjR0.csv
A842E3B07530,4,80440,-7,thermo_a842e3-b07530-J6B7fA.csv
A842E3B074C8,3,80123,-7,thermo_a842e3-b074c8-Dqx9tz.csv
E465B87F41CC,2,85375,-7,thermo_e465b8-7f41cc-60TQ5z.csv
C82E181B5AEC,1,85735,-7,thermo_c82e18-1b5aec-mCcbUH.csv
A842E3B07514,3,80211,-7,thermo_a842e3-b07514-GvCgNF.csv
30C922A3C580,2,85388,-7,thermo_30c922-a3c580-EUjrtA.csv
30C922001ADC,1,87112,-7,thermo_30c922-001adc-cwsjSW.csv
A842E3B10628,1,87112,-7,thermo_a842e3-b10628-jSmyOn.csv
E465B87E1870,3,85020,-7,thermo_e465b8-7e1870-S4NQch.csv
30C922A3F97C,2,85326,-7,thermo_30c922-a3f97c-zajAzk.csv
A842E3B11978,2,85225,-7,thermo_a842e3-b11978-uNijC2.csv
C82E181A40A0,3,80831,-7,thermo_c82e18-1a40a0-5Q2RUC.csv
A842E3B07518,3,80249,-7,thermo_a842e3-b07518-DulZGR.csv
30C922000940,3,80909,-7,thermo_30c922-000940-eWH0wL.csv
30C922A3C5EC,2,85024,-7,thermo_30c922-a3c5ec-TTE2YT.csv
D48AFC659820,2,85541,-7,thermo_d48afc-659820-sRHJau.csv
D48AFC6598A8,3,80017,-7,thermo_d48afc-6598a8-DBAOFN.csv
A842E3B1066C,3,84721,-7,thermo_a842e3-b1066c-5L463r.csv
D48AFC658630,3,81507,-7,thermo_d48afc-658630-VbQgsR.csv
08B61FBD5074,4,80209,-7,thermo_08b61f-bd5074-a3jWCk.csv
30C922A3DAB8,3,80107,-7,thermo_30c922-a3dab8-I2kGPU.csv
30C922A3F154,3,85335,-7,thermo_30c922-a3f154-Iys6V4.csv
30C922A3DF98,3,80023,-7,thermo_30c922-a3df98-Qx9GB7.csv
30C922A3E864,3,87031,-7,thermo_30c922-a3e864-fJXf6U.csv
30C922A3D68C,3,80516,-7,thermo_30c922-a3d68c-eQYHg5.csv
E465B87DD630,2,85255,-7,thermo_e465b8-7dd630-JoHhXi.csv
D48AFC659524,3,88345,-7,thermo_d48afc-659524-z6dgAs.csv
30C922A3F634,3,85747,-7,thermo_30c922-a3f634-2HErBZ.csv
30C922A3C508,3,85614,-7,thermo_30c922-a3c508-iUjXrF.csv
C82E181B5C60,3,80403,-7,thermo_c82e18-1b5c60-mgqoYt.csv
30C922A3E5F4,3,85123,-7,thermo_30c922-a3e5f4-r2oai7.csv
30C922A3F49C,2,85022,-7,thermo_30c922-a3f49c-4prXAC.csv
D48AFC658890,2,85375,-7,thermo_d48afc-658890-N0vNiE.csv
30C922A3CD0C,2,85340,-7,thermo_30c922-a3cd0c-HdCs1C.csv
30C922A3CF40,2,85367,-7,thermo_30c922-a3cf40-7bxBbz.csv
30C922A3CEB0,2,85367,-7,thermo_30c922-a3ceb0-Chv5S5.csv
